번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자
2031,Do it! 점프 투 플라스크,박응용 지음,이지스퍼블리싱,2020,9.79116E+12,,,,,1,1,2021-02-09
2032,보고서 작성 원리 with 파워포인트,김연희 지음,길벗,2020,9.79117E+12,,,,325.484,1,2,2021-02-09
2033,"빅데이터, 생활을 바꾸다",BC카드 빅데이터센터 지음,미래의창,2021,9.7912E+12,,,,,1,2,2021-02-09
2034,최고 예술가는 바로 나야!(움아1),"매리언 튜카스 지음, 서남희 옮김",국민서관,2020,9.78891E+12,,,,,1,0,2021-02-09
2035,다람쥐의 구름(움아1),조승혜 지음,북극곰,2020,9.79117E+12,,,,,1,0,2021-02-09
2036,바람숲 도서관(움아1),"최지혜.김성은 지음, 김유진 그림",책읽는곰,2020,9.79116E+12,,,,,1,0,2021-02-09
2037,내가 여기에 있어(움아1),"아드리앵 파를랑주 지음, 이세진 옮김",웅진주니어,2020,9.7889E+12,,,,,1,0,2021-02-09
2038,아기 고래의 첫 여행(움아1),"조 위버 지음, 김경미 옮김",JEI재능교육(재능출판),2020,9.78897E+12,,,,,1,0,2021-02-09
2039,곰멋대로(움아1),"알렉스 윌모어 지음, 루이제 옮김",에듀앤테크,2020,9.79119E+12,,,,,1,0,2021-02-09
2040,때문에(움아1),"모 윌렘스 지음, 앰버 렌 그림, 신형건 옮김",보물창고,2020,9.78896E+12,,,,,1,0,2021-02-09
2041,510일 1,"유경순 지음, 홈플러스일반노동조합 기획",봄날의박씨,2020,9.79119E+12,,,,,1,0,2021-02-09
2042,510일 2,"유경순 지음, 홈플러스일반노동조합 기획",봄날의박씨,2020,9.79119E+12,,,,,1,0,2021-02-09
2043,10% 적은 민주주의,"가렛 존스 지음, 임상훈 옮김, 김정호 추천",21세기북스(북이십일 21세기북스),2020,9.78895E+12,,,,,1,1,2021-02-09
2044,"AI 시대, 본능의 미래","제니 클리먼 지음, 고호관 옮김",반니,2020,9.79119E+12,,,,,1,1,2021-02-09
2045,미신 이야기,"샐리 쿨타드 지음, 칼 제임스 마운트포드 그림, 서나연 옮김",탬,2020,9.7912E+12,,,,,1,2,2021-02-09
2046,랭킹,"피터 에르디 지음, 김동규 옮김",라이팅하우스,2020,9.789E+12,,,,,1,1,2021-02-09
2047,세상 친절한 중국상식,이벌찬.오로라 지음,미래의창,2020,9.78896E+12,,,,,1,1,2021-02-09
2048,콤무니타스 이코노미,"루이지노 브루니 지음, 강영선 외 옮김",북돋움coop(북돋움출판협동조합),2020,9.7912E+12,,,,,1,0,2021-02-09
2049,중국 문화를 읽는 6가지 키워드,"리어우판 지음, 신의연 옮김",흐름출판,2020,9.78897E+12,,,,,1,2,2021-02-09
2050,대표,"모니카 브리투 비에이라.데이비드 런시먼 지음, 노시내 옮김",후마니타스,2020,9.78896E+12,,,,,1,1,2021-02-09
2051,"국가의 인구 관리, 옛날과 오늘","손병규 지음, 한국국학진흥원 연구사업팀 기획",은행나무,2020,9.79119E+12,,,,,1,0,2021-02-09
2052,권력의 배신,"마이클 포터.캐서린 겔 지음, 박남규 옮김",매경출판,2020,9.79116E+12,,,,,1,1,2021-02-09
